,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
31,1,0,0,0,1,1,0,1,0,0,0.2024500643985133,0.2471477335384755,0.29845291327664636,0.29070459031995666,0.29973764676847225,0.30021501732553657,,,0.27311799427126676,0.04015572635152827
32,1,1,0,1,0,1,0,0,0,0,0.3692871299059775,0.37098808257592214,,,,,0.39508921783424017,,0.37845481010537996,0.014430902617779032
33,1,1,1,0,0,0,0,0,0,1,,,0.23109057079546144,0.21867678298699214,,,0.24876052713760058,0.2298973575060545,0.23210630960652717,0.012431496846204813
34,1,1,0,0,1,0,0,0,1,0,0.35784211286244294,,0.372466990075111,0.3730170704847708,,0.37267323887565607,0.3614270561092905,,0.3674852936814543,0.007280552995604967
35,1,0,0,1,0,0,1,1,0,0,0.2602206583564352,0.24164718718860567,0.2811066833571708,0.28653651048469936,,0.28668899761547884,,,0.271240007400478,0.019793727927994078
36,0,0,1,0,0,1,1,1,0,0,0.25487413845429957,0.24546143800420453,,0.2678638984776642,0.26812006648686554,0.25182975143220276,0.2816737705286307,0.2569351216839265,0.2609654550096848,0.012280028953270673
37,1,0,1,0,1,0,0,1,0,0,0.2009148480581889,,,0.2790721509627869,0.2607330559463593,,,,0.24690668498911172,0.04087196349229917
38,0,1,1,1,0,0,0,0,1,0,0.3821750882773004,,,,0.4000524444328942,,0.43649692661623035,0.35299188389038855,0.3929290858042034,0.03492624395631704
39,0,1,1,1,1,0,0,0,0,0,0.34157456642844564,,0.340986382910177,0.41675386377961765,0.34298716839650023,0.3835515980383006,0.35654434033510307,0.3587872077457416,0.3630264468048408,0.028033986181401786
40,0,0,0,0,1,0,0,1,1,1,0.19292701446333413,,0.16392044315937299,,0.20682179826103214,0.21877651209987073,0.20466606937297188,0.1821863965600862,0.19488303898611137,0.01966139778942835
